Date,Close,High,Low,Open,Volume,trend
2026-04-08,1484000.0,1512000.0,1450000.0,1507000.0,287112,77
2026-04-09,1451000.0,1495000.0,1423000.0,1485000.0,224072,77
2026-04-10,1507000.0,1517000.0,1456000.0,1465000.0,190431,77
2026-04-13,1530000.0,1559000.0,1495000.0,1526000.0,259390,70
2026-04-14,1523000.0,1531000.0,1484000.0,1515000.0,168602,70
2026-04-15,1509000.0,1542000.0,1501000.0,1514000.0,153464,70
2026-04-16,1519000.0,1570000.0,1511000.0,1570000.0,121112,70
2026-04-17,1423000.0,1516000.0,1421000.0,1515000.0,272895,70
2026-04-20,1425000.0,1450000.0,1419000.0,1447000.0,147969,60
2026-04-21,1391000.0,1434000.0,1390000.0,1427000.0,162137,60
2026-04-22,1416000.0,1444000.0,1405000.0,1410000.0,159301,60
2026-04-23,1425000.0,1429000.0,1399000.0,1421000.0,177030,60
2026-04-24,1463000.0,1525000.0,1440000.0,1469000.0,272846,60
2026-04-27,1454000.0,1472000.0,1442000.0,1466000.0,114894,51
2026-04-28,1395000.0,1450000.0,1395000.0,1449000.0,259276,51
2026-04-29,1420000.0,1446000.0,1397000.0,1406000.0,110434,51
2026-04-30,1417000.0,1458000.0,1379000.0,1416000.0,236243,51
2026-05-04,1465000.0,1482000.0,1436000.0,1440000.0,450389,27
2026-05-06,1433000.0,1473000.0,1405000.0,1473000.0,171436,27
2026-05-07,1317000.0,1413000.0,1316000.0,1412000.0,314456,27
2026-05-08,1307000.0,1338000.0,1275000.0,1335000.0,249051,27
2026-05-11,1315000.0,1370000.0,1314000.0,1349000.0,251134,22
2026-05-12,1284000.0,1360000.0,1259000.0,1360000.0,234338,22
2026-05-13,1286000.0,1317000.0,1254000.0,1308000.0,149714,22
2026-05-14,1306000.0,1323000.0,1273000.0,1302000.0,183172,22
2026-05-15,1216000.0,1304000.0,1210000.0,1300000.0,208586,22
