Date,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,ticker,company_name,foreign_ratio
2026-01-06,13.49397590361446,13.766423357664234,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-07,12.481927710843376,18.467153284671532,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-08,21.927710843373497,20.481751824817522,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-09,26.65060240963856,33.57664233576643,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-10,7.759036144578315,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-11,12.144578313253014,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-12,12.481927710843376,17.45985401459854,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-13,16.192771084337352,17.45985401459854,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-14,18.55421686746988,21.824817518248178,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-15,17.204819277108435,20.145985401459857,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-16,13.915662650602412,20.072992700729927,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-17,6.204819277108434,15.054744525547445,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-18,11.903614457831328,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-19,17.102409638554217,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-20,12.909638554216867,11.208029197080293,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-21,12.909638554216867,15.89051094890511,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-22,21.126506024096383,22.916058394160586,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-23,18.10843373493976,20.90875912408759,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-24,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-25,5.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-26,13.0,13.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
